team_id,team_name,total_payroll,active_payroll,injured_payroll,avg_age,wins,losses,runs_scored_allowed,runs_allowed,run_differential,strength_o_schedule,simple_rating_system,pyth_w_l,pyth_luck
1,Milwaukee Brewers,137618720,86638816,15805635,27.4,97,65,5,3.9,1.1,0,1,99-63,-2
2,Philadelphia Phillies,293240191,226763871,55474994,30.4,96,66,4.8,4,0.8,-0.1,0.7,94-68,2
3,Toronto Blue Jays,255230406,160405569,70568356,28.9,94,68,4.9,4.5,0.5,0.1,0.5,88-74,6
4,New York Yankees,304091683,198430719,46660521,29.7,94,68,5.2,4.2,1,0,1,97-65,-3
5,Los Angeles Dodgers,350024106,268807958,48883969,29.5,93,69,5.1,4.2,0.9,-0.1,0.7,95-67,-2
6,Chicago Cubs,214020073,177899985,11051639,29.6,92,70,4.9,4,0.9,0,0.9,96-66,-4
7,Seattle Mariners,165596493,128418817,3179691,28,90,72,4.7,4.3,0.4,0,0.4,88-74,2
8,San Diego Padres,223125239,165519283,28221328,29.3,90,72,4.3,3.8,0.5,-0.1,0.4,90-72,0
9,Boston Red Sox,203658855,129032021,31081338,28.8,89,73,4.9,4.2,0.7,0,0.7,92-70,-3
10,Cleveland Guardians,100265946,48754621,15769560,26.3,88,74,4,4,0,0,0,80-82,8
11,Houston Astros,232140003,139280023,51185631,28.6,87,75,4.2,4.1,0.1,-0.1,0.1,83-79,4
12,Detroit Tigers,157542361,106720782,27908427,28.5,87,75,4.7,4.3,0.4,-0.1,0.4,88-74,-1
13,New York Mets,342303011,268004963,48538020,29.3,83,79,4.7,4.4,0.3,-0.1,0.3,86-76,-3
14,Cincinnati Reds,119036486,82400075,6690527,27.6,83,79,4.4,4.2,0.2,0,0.2,85-77,-2
15,Kansas City Royals,133630058,86341302,26724341,28.5,82,80,4,3.9,0.1,0,0.1,83-79,-1
16,San Francisco Giants,178562152,136191076,7481768,28.4,81,81,4.4,4.2,0.1,-0.1,0.1,83-79,-2
17,Texas Rangers,226526491,113977024,103593859,30.3,81,81,4.2,3.7,0.5,0,0.5,90-72,-9
18,Arizona Diamondbacks,177424443,68710886,55771644,27.4,80,82,4.9,4.8,0,-0.1,0,82-80,-2
19,Miami Marlins,67794627,34212751,7294675,26.3,79,83,4.4,4.9,-0.5,0,-0.6,72-90,7
20,St. Louis Cardinals,131152698,86756503,19543050,27.1,78,84,4.3,4.7,-0.4,0.1,-0.3,74-88,4
21,Tampa Bay Rays,88629788,41105049,9755231,28,77,85,4.4,4.2,0.2,0.1,0.3,84-78,-7
22,Athletics,78384241,49340255,15933681,26.9,76,86,4.5,5,-0.5,0,-0.5,73-89,3
23,Atlanta Braves,220223651,128648209,68078413,29.5,76,86,4.5,4.5,-0.1,0,-0.1,80-82,-4
24,Baltimore Orioles,158571377,64226457,29850106,27.3,75,87,4.2,4.9,-0.7,0.1,-0.6,70-92,5
25,Los Angeles Angels,208420995,99015619,88166299,27.5,72,90,4.2,5.2,-1,0.1,-0.9,65-97,7
26,Pittsburgh Pirates,84423338,50700867,2440921,27.3,71,91,3.6,4,-0.4,0.1,-0.3,74-88,-3
27,Minnesota Twins,129650732,49351640,24750911,27.8,70,92,4.2,4.8,-0.6,0,-0.5,71-91,-1
28,Washington Nationals,109465924,25303478,21807496,26.1,66,96,4.2,5.5,-1.3,0,-1.3,61-101,5
29,Chicago White Sox,79960763,17295751,41763612,26.4,60,102,4,4.6,-0.6,0.1,-0.5,71-91,-11
30,Colorado Rockies,127325786,60517751,32700236,26,43,119,3.7,6.3,-2.6,0.1,-2.5,44-118,-1